Prefectures of Japan	IPA	cmevla
北海道		xokaid
青森県		a'omor
岩手県		iuat
宮城県		miiag
秋田県		akit
山形県		iamagat
福島県		fukucim
茨城県		ibarak
栃木県		totcig
群馬県		gum
埼玉県		saitam
千葉県		tcib
東京都	to̞ːkʲo̞ː	tokiion
神奈川県		kanagauan
新潟県		nigat
富山県		toiam
石川県		icikauan
福井県		fuku'in
山梨県		iamanac
長野県		nagan
岐阜県		gif
静岡県		sizu'ok
愛知県		aitc
三重県		mi'en
滋賀県		cig
京都府		kiiot
大阪府		osak
兵庫県		hiiog
奈良県		nar
和歌山県		uakaiam
鳥取県		totor
島根県		shiman
岡山県		okaiam
広島県		xirocim
山口県		iamagutc
徳島県		tokucim
香川県		kagauan
愛媛県		exim
高知県		kotc
福岡県		fuku'ok
佐賀県		sag
長崎県		nagasak
熊本県		kumamot
大分県		oit
宮崎県		miiazak
鹿児島県		kagocim
沖縄県		okinauan
